Cas-nr,PubChem CID
7758-19-2,23668197
7758-99-8,24463
7761-88-8,24470
7775-14-6,24489
7778-50-9,24502
7778-53-2,62657
7778-77-0,516951
7778-80-5,24507
7782-63-0,62662
7783-20-2,6097028
7783-28-0,24540
7783-35-9,24544
7783-83-7,197097
7783-90-6,24561
7784-26-1,62668
7784-46-5,443495
7790-28-5,23667635
7791-13-1,24643
7791-18-6,24644
7803-55-6,516859
8002-48-0,159480023
8061-51-6,44135711
9000-70-8,441411
9001-37-0,64689
9001-99-4,9369
9002-17-9,135401907
9002-18-0,71571511
9002-93-1,5590
9003-99-0,9865515
9004-34-6,16211032
9012-36-6,11966311
9012-76-4,71853
9014-63-5,24802564
9051-29-0,168266255
9073-60-3,133358
10030-85-0,20849066
10031-43-3,9837674
10034-96-5,177577
10034-99-8,24843
10035-04-8,6093260
10036-64-3,82313
10039-32-4,61456
10075-50-0,24905
10101-89-0,61473
10101-97-0,5284429
10102-17-7,61475
10102-18-8,24934
10102-25-7,165815
10102-40-6,16211258
10108-64-2,24947
10112-91-1,24956
10125-13-0,61482
10190-68-8,25037
10213-10-2,150191
10229-10-4,66295
10236-47-2,442428
10323-20-3,66308
10387-40-3,23670855
10450-60-9,25289
10534-89-1,159295
10540-29-1,2733526
11006-33-0,21226163
11078-27-6,156595897
13035-61-5,83064
13288-57-8,13819885
13368-65-5,83384
13446-18-9,202877
13472-36-1,3084150
13477-34-4,16211656
13517-23-2,22463763
13529-17-4,2793719
13746-66-2,26250
13755-38-9,11953895
14191-95-8,26548
15307-79-6,5018304
15384-37-9,439799
15501-33-4,84953
15681-89-7,23673181
15687-27-1,3672
16009-13-5,455658
16052-06-5,85255
16674-78-5,134717
16940-66-2,4311764
17199-29-0,439616
17629-30-0,2724100
17804-49-8,28781
17833-53-3,4376
18162-48-6,28928
18422-05-4,6419976
18437-78-0,140387
18618-55-8,21585214
20007-72-1,89262
20398-34-9,12797869
20736-25-8,529893
20780-53-4,114705
20911-93-7,2724393
20965-20-2,549273
21038-66-4,270260
22346-75-4,89666
22818-40-2,89853
24286-28-0,90439
24292-60-2,2734411
24324-17-2,90466
24347-58-8,225936
24589-78-4,32510
24599-52-8,597180
24680-50-0,641294
25322-69-4,32881
25389-94-0,441374
25779-13-9,643312
25952-53-8,2723939
26177-86-6,22812950
26522-85-0,2735073
26628-22-8,33557
26798-33-4,193619
27607-33-6,10888034
28057-52-5,7015702
28305-26-2,6326776
28983-56-4,14513727
29745-56-0,169078
30931-67-0,16240279
31005-02-4,35703
31282-04-9,23777801
32462-30-9,36143
32503-27-8,94433
33471-33-9,9877530
34487-61-1,23686673
34725-61-6,71464062
35054-52-5,16211464
36170-34-0,46783551
38183-12-9,37927
38630-75-0,441246
39389-20-3,170197
44805-21-2,3428875
50270-27-4,10932746
50824-05-0,142785
51093-55-1,170973
51481-61-9,2756
51805-45-9,2734570
52010-97-6,556330
52340-78-0,853019
52415-29-9,676493
53912-85-9,2761540
54732-46-6,6934230
57044-25-4,5460455
